card,keywords
The Sun,happiness freedom self expression
The Sun,positive outcome life force
The Sun,childlike joy authentic being
Judgement,awakening calling rebirth
Judgement,self evaluation reckoning truth
Judgement,spiritual calling resurrection clarity
Judgement,release past forgiveness renewal
Judgement,answering higher purpose
The World,completion fulfillment integration
The World,wholeness mastery achievement
The World,cycle complete success harmony
The World,unity alignment cosmic order
The World,arrival celebration embodiment
The Fool,naive optimism spiritual curiosity fresh outlook
The Fool,trusting life instinctive movement beginner mind
The Fool,soul adventure divine protection open road
The Fool,risk taking inspired innocence playful spirit
The Fool,rebirth through trust light heart freedom
The Magician,personal power intentional focus mastery
The Magician,thoughts becoming reality conscious will
The Magician,initiative confidence mental agility
The Magician,bridging idea and action purpose
The Magician,command of tools inner alignment
The High Priestess,inner sanctuary silence observation
The High Priestess,esoteric wisdom spiritual depth
The High Priestess,patience intuition lunar awareness
The High Priestess,hidden influence unseen forces
The High Priestess,receptive knowing psychic depth
The Empress,creative flow life force embodiment
The Empress,emotional richness sensual awareness
The Empress,receiving abundance self love
The Empress,natural cycles growth unfolding
The Empress,earthly pleasure embodied presence
The Emperor,solid foundation strategic authority
The Emperor,protective energy rational leadership
The Emperor,discipline over chaos order creation
The Emperor,masculine stability structure building
The Emperor,self sovereignty command presence
The Hierophant,spiritual framework shared meaning
The Hierophant,learning through tradition guidance
The Hierophant,belief examination moral compass
The Hierophant,teacher archetype sacred instruction
The Hierophant,community values spiritual lineage
The Lovers,energetic attraction harmony choice
The Lovers,heart alignment emotional honesty
The Lovers,relational mirror integration polarity
The Lovers,devotion intimacy soul recognition
The Lovers,values alignment authentic union
The Chariot,controlled ambition disciplined drive
The Chariot,focused victory persistence effort
The Chariot,commanding momentum inner strength
The Chariot,goal oriented determination will
The Chariot,success through balance control
Strength,emotional bravery heart mastery
Strength,quiet confidence compassion strength
Strength,taming impulses inner harmony
Strength,spiritual courage calm resolve
Strength,love overcoming fear patience
The Hermit,wisdom through withdrawal solitude
The Hermit,seeking truth inward journey
The Hermit,inner teacher discernment clarity
The Hermit,light bearer contemplation stillness
The Hermit,spiritual maturity reflection
Wheel of Fortune,cosmic movement cycles turning
Wheel of Fortune,unexpected opportunity fate
Wheel of Fortune,shifting circumstances growth
Wheel of Fortune,flow with change acceptance
Wheel of Fortune,universal rhythm destiny
Justice,ethical clarity balanced judgment
Justice,truth revealed accountability required
Justice,mental balance clear decisions
Justice,objective assessment fairness restored
Justice,alignment with truth integrity
The Hanged Man,sacred pause altered awareness
The Hanged Man,voluntary surrender insight
The Hanged Man,waiting without resistance
The Hanged Man,ego release spiritual lesson
The Hanged Man,new angle enlightenment
Death,necessary ending profound renewal
Death,clearing space for rebirth
Death,irreversible change soul evolution
Death,metamorphosis transformation cycle close
Death,release attachment regeneration
Temperance,flow state inner harmony
Temperance,balancing extremes emotional health
Temperance,slow integration patience rewarded
Temperance,spiritual moderation alignment
Temperance,healing synthesis wholeness
The Devil,unhealthy bonds attachment patterns
The Devil,shadow desires compulsion
The Devil,material fixation power imbalance
The Devil,breaking chains awareness
The Devil,illusion of control dependency
The Tower,truth shock liberation breakdown
The Tower,destruction of illusion awakening
The Tower,sudden clarity chaos purge
The Tower,forced awakening collapse ego
The Tower,rebuilding after revelation
The Star,faith restored calm future
The Star,hope after collapse healing
The Star,spiritual reassurance gentle guidance
The Star,renewed optimism trust life
The Star,inner peace restoration
The Moon,emotional uncertainty hidden motives
The Moon,navigating fear intuition test
The Moon,subconscious surfacing dreams
The Moon,confusion illusion emotional depth
The Moon,trust inner compass
The Sun,success vitality radiant truth
The Sun,joyful expansion clarity warmth
The Sun,authentic expression confidence
The Sun,positive resolution happiness
The Sun,life affirming energy
Judgement,soul awakening realization
Judgement,calling answered rebirth
Judgement,truth reckoning forgiveness
Judgement,release past ascend
Judgement,spiritual evaluation renewal
The World,completion achieved integration
The World,embodied wholeness success
The World,full circle realization
The World,harmony with universe
The World,graduation fulfillment
Ace of Wands,new spark creative impulse inspiration beginning
Three of Cups,celebration friendship shared joy community
Nine of Swords,mental anguish anxiety sleepless worry
King of Pentacles,material mastery stability provider energy
Page of Cups,emotional curiosity gentle message intuition
Seven of Wands,defensiveness standing ground conviction
Two of Pentacles,balance multitasking adaptability flow
Queen of Swords,clear mind honesty perception independence
Ten of Cups,emotional fulfillment harmony family joy
Five of Wands,conflict competition scattered energy
Knight of Cups,romantic pursuit idealism emotional quest
Four of Pentacles,holding on security control attachment
Ace of Swords,mental clarity truth breakthrough insight
Eight of Cups,emotional departure seeking deeper meaning
Six of Wands,public recognition victory success
Page of Wands,exploration enthusiasm discovery curiosity
Three of Pentacles,collaboration skill building teamwork
Ten of Wands,burden overload responsibility strain
Queen of Cups,emotional intelligence compassion intuition
Seven of Swords,deception strategy hidden motives
Two of Cups,mutual attraction emotional exchange bond
Knight of Swords,swift action urgency directness
Five of Pentacles,scarcity exclusion hardship
Ace of Cups,new emotional beginning love opening
Nine of Wands,resilience perseverance guarded strength
Four of Cups,apathy contemplation emotional withdrawal
King of Swords,mental authority logic truth leadership
Six of Pentacles,giving receiving fairness generosity
Eight of Wands,rapid movement momentum communication
Page of Pentacles,learning opportunity practical focus
Ten of Swords,mental collapse painful ending
Queen of Wands,confidence charisma creative leadership
Three of Swords,heartbreak grief emotional pain
Two of Wands,planning foresight future vision
Knight of Pentacles,steady progress reliability patience
Seven of Cups,illusion fantasy too many options
Five of Cups,regret loss emotional disappointment
Ace of Pentacles,new material opportunity seed
Nine of Cups,contentment wish fulfillment satisfaction
Four of Wands,celebration stability homecoming
King of Cups,emotional balance maturity compassion
Six of Swords,transition mental relief moving on
Eight of Pentacles,dedication craftsmanship focused effort
Ten of Pentacles,long term security legacy wealth
Knight of Wands,passion impulsiveness adventure
Three of Wands,expansion progress waiting results
Two of Swords,indecision mental block avoidance
Seven of Pentacles,assessment patience long term view
Page of Swords,curiosity observation information gathering
Five of Swords,hollow victory conflict aftermath
Queen of Pentacles,nurturing practicality grounded abundance
Six of Cups,nostalgia innocence past connection
Ace of Wands,renewed motivation inner fire
Nine of Pentacles,self sufficiency refinement independence
Four of Swords,rest recovery mental pause
Ten of Cups,shared happiness emotional alignment
The Magician,focused manifestation conscious will action
Six of Wands,recognition confidence earned success
Page of Cups,emotional openness creative sensitivity
Eight of Swords,mental restriction self imposed limitation
Queen of Pentacles,practical care grounded nurturing
Three of Cups,shared celebration emotional support
Ace of Swords,truth cuts through confusion clarity
Five of Pentacles,material worry insecurity isolation
Knight of Wands,restless drive bold pursuit
Ten of Cups,emotional harmony lasting joy
Four of Swords,mental rest healing integration
Seven of Wands,defending position personal conviction
Two of Cups,balanced exchange emotional resonance
Nine of Pentacles,self reliance comfort inner worth
King of Swords,clear judgment intellectual authority
Six of Cups,innocent memories kindness past joy
Ace of Pentacles,practical beginning stable seed
Five of Wands,ego friction scattered motivation
Queen of Cups,emotional depth intuitive care
Eight of Wands,swift progress messages movement
Ten of Wands,pressure overload energetic fatigue
Page of Pentacles,study growth long term effort
Seven of Cups,confusion illusion scattered desires
Three of Pentacles,learning cooperation skill refinement
Knight of Cups,romantic imagination emotional pursuit
Two of Swords,blocked feelings suspended choice
Nine of Cups,personal satisfaction emotional ease
Four of Pentacles,clinging fear scarcity mindset
Six of Pentacles,balance exchange support fairness
King of Pentacles,material wisdom stable leadership
Five of Cups,emotional regret focus on loss
Ace of Cups,heart opening compassion renewal
Eight of Pentacles,disciplined practice mastery focus
Ten of Pentacles,legacy security family foundation
Page of Wands,curious spirit inspired movement
Seven of Pentacles,long term patience evaluation
Queen of Wands,magnetic confidence creative authority
Four of Cups,emotional disengagement introspection
Knight of Swords,decisive movement assertive communication
Three of Swords,emotional truth pain clarity
Six of Swords,mental transition healing distance
Nine of Wands,defensive strength endurance
Two of Pentacles,flexibility rhythm adaptation
Five of Swords,conflict aftermath tension imbalance
Ace of Wands,ignition of purpose creative spark
Ten of Swords,final mental collapse release
King of Cups,steady emotions compassionate authority
Eight of Cups,walking away emotional evolution
Three of Wands,vision expansion future planning
Four of Wands,stability celebration rooted joy
Nine of Swords,anxious thoughts internal torment
Six of Wands,earned pride recognition
Page of Swords,alert mind curious inquiry
Seven of Swords,strategic avoidance hidden agenda
The Fool,fresh outlook spontaneous trust beginning
Eight of Cups,leaving comfort emotional honesty
Queen of Swords,clear boundaries truth discernment
Three of Wands,anticipation growth future focus
Knight of Pentacles,consistent effort reliable progress
Seven of Cups,overwhelm fantasy choice paralysis
Five of Cups,grief processing emotional realism
Ace of Pentacles,tangible opportunity grounded start
Nine of Cups,self contentment emotional reward
Four of Wands,community safety celebration
King of Cups,emotional composure calm leadership
Six of Swords,mental recovery transition peace
Eight of Pentacles,skill refinement disciplined learning
Ten of Pentacles,generational wealth lasting stability
Knight of Wands,impulsive energy bold motion
Three of Pentacles,shared goals cooperative effort
Two of Swords,emotional avoidance mental stalemate
Seven of Pentacles,slow progress assessment patience
Page of Swords,mental curiosity awareness vigilance
Five of Swords,ego driven conflict loss
Queen of Pentacles,practical love steady support
Six of Cups,kindness nostalgia gentle memory
Ace of Wands,creative ignition inspired motion
Nine of Pentacles,personal freedom refined independence
Four of Swords,deep rest nervous system reset
Ten of Cups,emotional alignment shared vision
The High Priestess,inner knowing silent awareness
Page of Cups,emotional message intuitive openness
Eight of Swords,self doubt limiting beliefs
Five of Pentacles,emotional lack abandonment fear
Knight of Cups,idealistic longing emotional pursuit
Two of Cups,mutual respect emotional symmetry
Nine of Wands,wounded perseverance guarded resolve
Four of Cups,missed opportunity emotional disengagement
King of Swords,rational authority ethical clarity
Six of Pentacles,balanced generosity mutual benefit
Eight of Wands,swift alignment fast unfolding
Page of Pentacles,curious learner steady growth
Ten of Swords,complete mental exhaustion ending
Queen of Wands,creative confidence expressive leadership
Three of Swords,truth hurts emotional honesty
Two of Wands,decision point directional planning
Five of Wands,chaotic energy misaligned effort
Ace of Cups,new feeling emotional awakening
Seven of Wands,standing firm personal truth
Knight of Swords,mental momentum assertive clarity
The Star,hope restored emotional healing
The Devil,attachment fear power imbalance
The Sun,confidence clarity life affirmation
Judgement,awakening realization higher calling


